# 12 columns: title|client|brief|truth|clue_a|clue_b|informed action|informed outcome|contract action|contract outcome|compromise action|compromise outcome
# 01 灯守の地下水道
迷子の索引|司書のシフ|索引が読者を同じ棚へ戻します。出口へ導く順番を直してください。|索引は場所でなく書名の旧称を参照し、改題された三冊が循環しています。|頁番号は正しく、古い書名だけが次の索引を指しています。|三冊の扉頁に同じ改題日があり、新旧対照表だけ抜けています。|新旧の書名を結び循環をほどく|読者は目的の本へ着きました。古い名でも検索できる札が残ります。|索引の番人を倒して棚を直線に並べる|出口は見えました。分類を失った本を探す時間は長くなります。|循環の途中に出口札を足す|迷子は帰れます。探していた本の場所だけは、司書に聞く仕組みです。
一頁の戦争|歴史家のオミ|二国の戦史が一頁だけ入れ替わっています。正しい持ち主へ戻してください。|同じ戦いを双方が勝利と書き、交換された一頁だけが撤退条件を記しています。|勝利の日時は両書で同じですが、砦の引渡日も同じです。|交換頁には領土でなく、捕虜と冬営物資の取り決めが載っています。|両方の頁を併記し取引の記録を残す|勝敗の一語では授業が終わらなくなりました。歴史家は二国へ同じ写しを送ります。|軍旗の亡霊を倒し依頼国へ都合よく戻す|謝礼と表彰状が届きました。隣国の書庫ではまた逆の依頼が出ます。|交換頁を共同保管し双方へ写しを渡す|原本の奪い合いは止まりました。解釈の争いは、紙を破らずに続きます。
眠る校正者|写本師のアリ|眠った校正者の手だけが動いています。仕事を止めてよいか調べてください。|自動筆記の契約は誤字がゼロになるまで続き、依頼人が毎朝誤字を追加しています。|夜に直った行へ、昼の別筆で同じ誤りが戻されています。|契約の終了条件には全校了とあり、期限の欄が空白です。|追加を止め最終稿を封印する|筆は止まり、校正者は眠り直しました。次の契約には校了日が入ります。|自動筆の精を倒して契約を断つ|手は止まりました。違約金をめぐる交渉を、アリが引き受けます。|交代の校正者を集め追加分を上回る|一晩だけ誤字はゼロになりました。最後の一字を直した者は、全員の名を書きます。
忘却の栞|探検家のルウ|栞を挟むと道を忘れます。必要な頁だけ持ち帰ってください。|栞は読んだ内容を封じる機密道具で、道順を記した頁まで封じています。|覚えていない道でも足が曲がり角へ向き、地図を見れば進めます。|栞の封印範囲は頁番号で指定され、経路図が同じ範囲にあります。|道順を封印範囲から外し機密だけ守る|ルウは帰路を覚えて帰りました。忘れる約束も守れたと胸を張ります。|忘却の番人を倒して栞を焼く|全て思い出せました。持ち帰るべきでない知識も、夢に現れるようになります。|機密頁を置き地図だけ写して帰る|成果は少なくても隊は戻りました。ルウは次の契約で閲覧範囲を確かめます。
止まった終章|記録係のテオ|書庫の中央時計を動かすと未完の本が閉じます。何を残すか決めてください。|時計は収蔵期限を示し、閉じた本は破棄でなく別の倉へ移送されます。|閉じた本の番号は焼却簿でなく搬送簿へ移っています。|中央台の裏に延長申請があり、未完成者の署名欄があります。|搬送先を公開し未完の本へ延長を出す|時計は動き出しました。終わらなかった物語にも、続きを書く机が残ります。|時計守を倒して針を止め続ける|本は閉じませんでした。新刊を置く棚がなくなり、床に積まれます。|全て写してから予定通り閉架する|原本は移り、写本が残りました。書き手は次の頁を別冊として始めます。
# 06 眠れる地下市場
釣銭のない店|行商人のコノ|買物をすると釣銭が戻りません。店主に精算を求めてください。|釣銭は閉店後の共同食堂への前払いで、初来店者への説明だけが省かれています。|値札には小さな椀の印があり、常連は端数を気にしません。|食堂の席札に購入額と同じ番号が記されています。|食堂分を選択制にして未説明分を返す|買わない客も食べたい客も区別できました。コノは最初の説明札を書きます。|金庫の番獣を倒し釣銭を回収する|客へ金は戻りました。その夜の食堂は鍋を一つ減らします。|共同食堂で精算する席を設ける|返金にも食事にも使える札ができました。店主は端数の行先を口にします。
幽霊の競り札|競売人のウメ|姿のない客が毎回最高値を付けます。入札者を特定してください。|競売人の先代が残した自動札が最低価格を守り、売れない品を買い続けています。|入札幅は必ず同じ比率で、開始直後にだけ反応します。|落札品は客へ渡らず、先代の名の倉庫へ戻っています。|自動札を止め最低価格を明示する|売れ残りは見えるようになりました。競売人は自分の声で値打ちを説明します。|札の亡霊を祓って倉庫を開放する|安く多くが売れました。品を預けた人の希望額には届きませんでした。|自動札に予算上限を設ける|暴走する値は止まりました。買い支えの費用が会計へ初めて載ります。
賞味期限の明日|料理人のキク|市場の食糧は全て明日までです。期限札の仕組みを調べてください。|札は日替わりで更新される宣伝板で、本当の入荷日を隠しています。|札の裏には何度も消した墨があり、同じ袋の紐は古く変色しています。|廃棄簿の日付と納品控えが合わず、倉庫の奥ほど番号が若くなっています。|入荷順を復元し使える品だけ選別する|捨てる品も救える品も分かりました。キクは鍋の数を減らして店を開けます。|倉庫の腐敗獣を倒し札を信用して納める|納品は間に合いました。料理人は匂いを確かめ、一部を自腹で廃棄します。|全品を隔離し新しい食糧を調達する|食事は遅れました。客には理由と返金方法が先に伝わります。
夢の質草|質屋のユノ|客が預けた夢を取り戻せなくなりました。蔵の棚を調べてください。|夢の瓶は中身が混ざったのではなく、返済した人の名札だけ外されています。|瓶の封は無傷で、栓には本人が覚えた合言葉の頭文字があります。|名札の束には返済済みの印があり、帳簿の残債は二重です。|合言葉で持ち主を照合し返済を確定する|夢は本人へ返りました。ユノは空瓶を数えて二重帳簿を閉じます。|夢喰いを倒し一番輝く瓶を客へ渡す|客は眠れましたが、知らない故郷の夢を見ると言いました。|全ての瓶を保全し集団で返済照会する|夢を見るまで時間はかかります。誰の瓶も売られず、札を待ちます。
値札のついた影|仕立屋のミク|客の影に値札が付いて離れません。剥がす方法を探してください。|影札は未返却の試着服を追う印で、客は服を買ったつもりでいます。|領収書は購入でなく保証金と記され、試着期限だけが裏面にあります。|服の縫い目に追跡糸があり、影札と同じ色で光ります。|保証金を代金へ充て正式に売買する|影から札が消えました。店は試着と購入を別の色の紙へ書きます。|影を追う魔物を倒し追跡糸を切る|客は自由になりました。店には服と保証金の差額が残ります。|服を返して保証金を取り戻す|取引は元に戻りました。客は今度、何の代金か尋ねてから財布を開きます。
閉店後の拍手|舞台主のトワ|地下劇場で無人の拍手が続き眠れません。音の原因を止めてください。|拍手機械は客席の空き数を数えて動き、全席売約の印がない限り止まりません。|拍手の強さは椅子を外すと減り、舞台を照らしても変わりません。|機械の注文書には満席を演出とあり、停止用の売約札が欠けています。|停止札を作り機械の役割を公表する|夜は静まりました。初公演では本物の拍手が少し遅れて広がります。|機械の精を倒し歯車を壊す|眠れる夜が戻りました。昼の舞台も静かになり、役者は客の息を聞きます。|機械を稽古用へ移す|拍手は地下奥で続きました。若い役者には練習の相手ができます。
無主の露店|市場番のゼン|主が消えた店を撤去したいと言われました。所有者を探してください。|店は交代制の共同露店で、各人が主と名乗らないため無主と記録されました。|帳面の仕入れ印は七種類あり、釣銭箱は一つです。|営業時間の端ごとに違う名の休憩札が掛けられています。|共同名義で届け出て代表を輪番にする|店は残りました。一人の不在で生活全部を失わない規則も残ります。|店を守る荷車獣を倒し商品を撤去する|通路は広がりました。七人は別々に出店料を用意することになります。|期限付きの営業札を発行して名義を待つ|商いは続きました。ゼンは閉店後に全員が揃う時間を聞きます。
金貨の病|両替商のエン|金貨に触ると手が黒くなります。呪われた貨幣を集めてください。|黒くなるのは盗難防止の染料で、被害者が善意の流通先まで泥棒扱いしています。|黒い色は水で薄れ、金貨自体の重さや材質は変わりません。|同じ袋に入った正規の領収書にも、同じ染みが付いています。|取引履歴で盗難分だけ追跡する|手の黒い客は買物へ戻れました。両替商は染料を証拠の一部として扱います。|金を食う魔物を倒し黒い貨幣を没収する|金貨は集まりました。正当に受け取った人たちの抗議が市場へ残ります。|同額の代貨へ交換し原貨を保管する|流通は続きました。誰の損になるかは、帳簿の照合を待ちます。
一人分の祝宴|料理人のキク|地下の宴会室に百人前が届きます。予約した一人を探してください。|一人の予約者が百人の失業者を招き、支払いだけを自分の名で背負っています。|席には名前の代わりに仕事道具が描かれ、主賓席はありません。|予約者の財布は空ですが、賄い当番の応募は百人分あります。|共同炊事の契約へ切り替える|祝宴は短く、食堂は長く続くことになりました。一人の借金は百人の当番へ変わります。|食糧を狙う獣を倒し予約通り宴を開く|その夜は全員が満腹でした。予約者は翌朝、支払いのため市場を去ります。|料理を保存食へ替え配給する|祝う席はできませんでした。数日分の食事が、それぞれの荷物へ入ります。
市場の目覚まし|市場番のゼン|地上への出口が開くと市場の結界が消えます。商人たちの意思をまとめてください。|結界は夜間営業の保護で、出口を開いても共同保証を組めば維持できます。|古い契約には単独閉鎖と共同保証の二つの欄があります。|保証人の欄は空白ですが、各露店の納税額を足せば条件を満たします。|共同保証を結び出口を開ける|市場は朝にも開きました。ゼンは門番から、二つの世界の道案内になります。|結界の番人を倒し自由通行にする|人と商品は通りました。守りを失った夜の見回りは、商人が自分で始めます。|出口を時間制にして結界を保つ|完全な自由ではありません。地下と地上を結ぶ時刻表が配られます。
# 07 黒潮の沈没城
濡れない海図|航海士のナギ|沈没城に乾いた海図があります。救難船へ使えるか確かめてください。|海図は海面でなく、空気の残る城内上層を航路として描いています。|深度の数字は潮位でなく天井までの高さと一致します。|港の記号の場所には船着場でなく空気溜まりがあります。|空気の地図として救難隊へ渡す|救難隊は休める場所を得ました。ナギは海図の題を息継ぎ図へ変えます。|図を守る水霊を倒して航路として使う|海上の船は座礁を避けて引き返しました。図は誤図として棚へ戻ります。|城内だけで使い外へは渡さない|今回の隊は無事でした。次の救難隊には口頭で息継ぎ場所を伝えます。
王の救命胴衣|潜水士のナオ|宝物庫から王の救命具を持ち帰ってください。民衆は贅沢の証だと言います。|王の救命具は幼児用に切り分けられ、残る外布だけが豪華です。|刺繍の内側に浮材はなく、小さな胴回りの切断線が並びます。|救助名簿の子供の数と、失われた浮材の片数が一致します。|外布と救助名簿を一緒に公開する|豪華な布の見方は変わりました。王の別の失政まで消えるわけではありません。|宝庫の護衛を倒し豪華な外布だけ渡す|怒りの展示ができました。救われた老人が、展示の前で何も言わず立ちます。|外布を遺族へ渡し証言を集める|一枚の布から小さな記憶が集まりました。結論は後から書かれます。
潮に逆らう階段|城址調査団のミオ|階段を降りても水面へ戻ります。王室へ入る道を探してください。|階段は転送でなく浮力で上下する避難梯子で、重りが外されています。|踏み板の脇に上下の擦過痕があり、壁との継ぎ目が滑ります。|下部の鎖だけ新しく切られ、重りは救難用の浮標へ転用されています。|仮の重りを作り梯子を固定する|王室へ入れました。使い終えた後は浮く避難梯子へ戻します。|階段の水獣を倒し柱へ打ち付ける|上下に動かなくなりました。次の増水では使える高さが限られます。|別の通気孔から迂回する|王室への道は長くなりましたが、避難梯子の役目は残せました。
届く砲声|漁師のハル|沈没城の砲が鳴り、魚が逃げます。止める方法を探してください。|砲は海獣の接近を知らせる圧力式警報で、魚が逃げる先は安全な湾です。|砲口に弾痕はなく、海獣の擦り傷が検知杭に残っています。|魚群の移動は砲声の後ですが、大きな影はその前から近づいています。|警報を鐘へ替え海獣の道を避ける|漁師は静かな警戒法を得ました。安全な湾での漁が再開します。|砲を守る海獣を倒し機構を壊す|一頭は倒れ、海は静まりました。次の影を知らせる音はありません。|発砲時刻を記して漁の時間を変える|根本の脅威は残りました。ハルは砲声を聞いて網を引くようになります。
水中の火葬|葬送師のアオ|水中で燃える灯へ遺灰を届けてください。途中で灯が消えます。|灯は油の膜を辿り、潮の切替で流れが途切れると消えます。|消える地点に灰はなく、油膜だけが二方向へ裂けています。|供油室の潮見表は、灯の消えた時刻と一致します。|潮の切替を待ち供油路をつなぐ|灯は遺灰と進みました。葬送師は待つ時間も儀式へ組み込みます。|灯を呑む影を倒して強い油を流す|火は通りました。水面に残る油を、翌日漁師が回収します。|灯を持ち帰り岸で弔う|海へ届く道は変わりました。遺族は火を見ながら別れを言えました。
珊瑚の軍議|歴史家のオミ|会議室の珊瑚が人の形をしています。城の最期を調べてください。|人影は遺体でなく椅子へ掛けた鎧で、会議は避難後に終了したように偽装されました。|鎧の内部に骨はなく、珊瑚は空いた襟から生えています。|議事録の時刻には船がすでに出港し、最後の署名だけ筆が異なります。|避難記録と鎧を照合し最期を書き直す|殉死とされた人が生還者として戻りました。英雄譚を好む人は反発します。|鎧の亡霊を倒し英雄の遺品として納める|慰霊碑は立派になりました。生還した家族の証言は碑文に入りません。|鎧を保存し確かな事実だけ展示する|空の鎧という事実が残りました。見る人が記録を読み比べます。
人魚の筆談|通訳のスイ|人魚が城門で何か訴えています。言葉を解いてください。|人魚の記号は文字でなく水門の開閉図で、急な水圧変化を止めてほしいのです。|同じ記号は会話中でなく、弁を動かすたびに増えています。|城の配管図と並べると、丸と線が水門の位置に重なります。|図を重ね水門を順番に開く|流れは穏やかになりました。スイは最初の通訳帳を図面として作ります。|門番の海獣を倒し通行を優先する|城へ入れました。人魚は荒れた水を避け、別の海域へ去ります。|城への入水を止め人魚の避難を待つ|調査は遅れました。意思の全ては分からなくても、安全な間は作れます。
二つの錨|救難船長のトウ|城を吊り上げる錨が二つあります。一方を切って船を軽くしてください。|二つの錨は城と避難筏を別々に支え、軽い方にも人が乗っています。|太い鎖は城へ、細い綱は浮遊物の陰へ消えています。|細い綱の揺れに合わせて遠くの灯が三回ずつ点滅します。|人のいる綱を別船へ渡してから切る|船は軽くなり、筏も残りました。船長は重さだけで荷を呼ばなくなります。|鎖を守る獣を倒して軽い綱を切る|船は進みました。離れた筏を追うため、救難船は後から戻ります。|吊上げを中止し両方をその場へ固定する|城の回収は延びました。人を数える時間だけは確保できました。
海王の通行税|漁師のハル|海王が城への通行税を取ります。代価の意味を調べてください。|通行税の鉄片は城門の補修材で、海王は崩壊した故郷を自分で塞いでいます。|払った鉄は宝庫でなく門の穴へ打ち込まれています。|取り立ての量は旅人の富でなく、潮が強い日の穴の数に比例します。|補修材を共同で運び通行条件を決める|門は持ちこたえました。海王は税額より先に必要な板の寸法を伝えます。|海王の護衛を倒し徴税をやめさせる|通行は無料になりました。崩れる門を抜けるため潜水士が危険を背負います。|今回の税を払い補修図を持ち帰る|道は通れました。ハルは次の船に使わない鉄板を積みます。
沈没城の浮上|航海士のナギ|城を浮かせれば遺物が救えますが、地下港が潰れます。最終操作を選んでください。|城は区画ごとに浮上でき、全体を一度に上げる旧手順だけが危険です。|隔壁の弁には独立した番号があり、中央機は連動を後付けされています。|地下港の図面に、空荷区画を先に上げる試験記録があります。|区画を順に浮かせ港の人を移す|城は小さな島々として戻りました。港は新しい桟橋へ移り、ナギの図も増えます。|浮上機の主を倒し全体を起動する|城は空を見ました。地下港の人々は、失った家の瓦を海岸で拾います。|浮上を止め重要な遺物だけ運び出す|城は海の下に残りました。地上には小さくても確かな展示室ができます。
# 08 鉄胎の機関廟
止まれない門番|整備士のフウ|門番機械が巡回をやめず補修できません。停止条件を探してください。|門番は全員帰還を待ち、退職者の番号が在室のまま残っています。|人数計には姿のない番号が一つあり、巡回経路は空の更衣室で止まります。|退職届は受理済みですが、入退室盤への転記欄が空白です。|退職番号を精算して停止させる|門番は初めて座りました。フウは人の退職にも機械の点検を付けます。|門番を戦闘で止めて解体する|補修通路は通れました。組み直した門番には以前の巡回記録がありません。|外部電源を切って短時間だけ補修する|その日の補修は済みました。再起動すると、門番は同じ番号を探し始めます。
油の洗礼|機関司祭のイオ|新しい洗礼油で機械が震えます。聖別が足りないのか調べてください。|油の粘度が寒い下層に合わず、祈祷の有無と故障は関係していません。|上層では同じ油で動き、下層だけ軸が重くなっています。|納入票の推奨温度は地上の工場用で、下層の温度を下回りません。|下層用の油へ替え儀式は別に続ける|機械は静まりました。司祭は祝福と整備の記録を別々に付けます。|震える機械獣を倒し油を全て捨てる|危険は止まりました。再稼働まで、手で鐘を鳴らす日が続きます。|部屋を温めて今ある油を使う|当座は動きました。燃料代を見た司祭が、次の発注を変えます。
天使の予備腕|義肢職人のリン|天使像の腕を回収してください。義肢の材料に使えそうです。|腕は非常時に扉を支える補助具で、全部外すと避難路が閉じます。|指先には人を抱く摩耗でなく、扉の桟を押す傷があります。|非常図では像の数と、固定すべき扉の数が一致します。|支えを新設して余剰の腕を回収する|義肢も避難路も残りました。リンは次の腕に支えた扉の番号を刻みます。|天使の護衛を倒し腕を持ち去る|材料は揃いました。非常扉を開けるには、人が支える番を必要とします。|一本だけ借りて複製後に返す|納品は遅れました。天使の片腕は、戻るまで仮の梁に替わります。
祈祷の順番|鐘番のユア|祈祷の順番を間違えると廟が閉じます。正しい順を探してください。|祈祷は起動手順の口伝で、冷却より先に炉を開く句が写し間違えられています。|古い鐘の番号と新しい祈祷書で、二番と三番だけ逆になっています。|炉壁の焼け方は冷却前の点火と一致し、古い書には水の句が先にあります。|旧手順を試験して祈祷書を訂正する|扉は開きました。ユアは訂正した頁に、自分の検証日を記します。|封鎖機構を倒し順番を無視して進む|今回の隊は通れました。次の祈祷でも炉は熱を持ちます。|炉を止め手動で扉を開ける|廟は静かなまま開きました。鐘の音が戻るのは点検の後です。
無給の聖者|修繕組合のセリ|機械聖者が修繕を拒みます。命令を回復してください。|聖者は報酬でなく部品補給を要求し、給付欄を賃金と誤訳されています。|要求票の数字は貨幣単位でなく、摩耗した部品の型番です。|未払いの年と交換されていない軸受の製造年が一致します。|必要部品を納め要求票を翻訳し直す|聖者は再び修繕を始めました。組合は機械にも使える状態を渡すと約束します。|聖者を倒し命令板を書き換える|返事だけは従順になりました。壊れた軸では、以前の仕事量へ戻りません。|作業量を減らし人間で分担する|修繕は遅くても続きました。聖者の横に、人用の工具箱が置かれます。
鉄の子守歌|整備士のフウ|無人の保育室で子守歌が続いています。停止してよいか確認してください。|歌は子供の眠りでなく、保育室の空調を一定に保つ制御信号です。|歌の音程に合わせて送風弁が動き、音を遮ると室温が上がります。|保管庫には熱に弱い薬が移され、部屋名だけ保育室のままです。|制御音を別回線へ移して歌を保存する|薬は守られ、部屋は静まりました。歌は聞きたい人が再生できる記録になります。|歌う自動人形を倒して電源を切る|音は止みました。薬師が急いで保管先を探し、一部を廃棄します。|薬を移してから歌を止める|部屋は役目を終えました。最後の曲を聴いた整備士が、扉へ日付を記します。
聖痕の配線|機関司祭のイオ|壁の聖痕が増えています。巡礼者が触る前に調べてください。|聖痕は絶縁の傷に沿った放電跡で、壁の補修が配線を傷付けています。|跡は金属釘の位置から伸び、古い漆喰にはありません。|補修図と配線図を重ねると、新しい釘が給電路を貫いています。|給電を止め配線と壁を直す|巡礼は延期されました。再開時には触れてよい壁が明示されます。|壁の雷獣を倒し焦げ跡を削る|見た目は戻りました。給電を再開すると、別の釘に火花が現れます。|壁を柵で囲み別の巡礼路を開く|誰も触れずに済みました。修理依頼の場所も柵の番号で伝えられます。
部品の記憶|義肢職人のリン|古い腕を付けると知らない作業をします。危険な記憶を消してください。|腕は前使用者の人格でなく、道具位置を補正する作業学習を残しています。|腕は写真に反応せず、同じ工具配置にだけ手を伸ばします。|学習簿の項目は感情でなく距離と握力の数値です。|利用者に合わせて作業学習を更新する|腕は本人の仕事を覚えました。古い技術の記録は消さずに保存されます。|記憶の守護者を倒して全記録を消す|不意の動きは止まりました。一から練習する日々を、リンが手伝います。|自動補正を切り手動で使う|便利さは減りましたが意思通りに動きます。本人が次の調整日を決めます。
九十九回の再起動|鐘番のユア|中央炉が再起動を繰り返します。百回目までに原因を探してください。|安全試験の終了記録を保存する板が満杯で、合格しても未試験へ戻ります。|各試験の数値は正常で、最後の記録灯だけ毎回点きません。|記録板には同じ合格が九十九回分あり、空き領域がありません。|記録を退避し保存領域を空ける|炉は稼働へ移りました。ユアは合格より先に、記録が残ったかを確認します。|再起動の番機を倒し安全試験を飛ばす|炉は動きました。次の異常も検出できるか、誰にも保証できません。|炉を停止し代替の小炉を使う|出力は足りません。必要な灯を選び、記録板の交換を待ちます。
鉄胎の継承|修繕組合のセリ|廟の中枢が後継者を求めています。人間か機械かを選ぶよう命じられました。|中枢は単独の支配者でなく、複数の署名で命令を確定する構造を持っています。|玉座の下に三つの入力端子があり、一つだけ短絡されています。|創設記録には整備・利用・保護の三者承認が載っています。|三者承認を戻して共同運営にする|廟の返事は少し遅くなりました。セリは誰も一人で炉を動かせない鍵を配ります。|中枢守護機を倒し冒険者の命令へ統一する|廟は素早く応えました。何を止めるかも、あなたの署名を待ちます。|最小機能だけ残し後継選定を延期する|灯と空調は続きました。後継者の席には、議題の札だけが置かれます。
# 09 星欠けの地下観測所
落ちてこない星|観測士のシオ|予報された星が落ちません。地下の計算盤を調べてください。|予報は地上の空でなく、天井に投影する星図の落下演出の予定です。|方位盤の北が地理上の北と逆で、天井の投影機へ向いています。|予定表には落下の後に幕間とあり、観覧席の席数が添えられています。|星図と本当の空を分けて告知する|避難騒ぎは収まりました。子供たちは安心して星の落ちる上映を見ます。|星図の番獣を倒し予報盤を壊す|予報は消えました。観測士は本物の天候記録まで失います。|上映を延期して観測結果を再確認する|人は一日待ちました。シオは空を見た記録と盤の記録を並べます。
星売りの空瓶|商人のエル|瓶詰めの星が空になりました。盗まれた光を探してください。|瓶の蓄光材は温度で放光し、寒い地下では光を蓄えたまま暗くなります。|栓は開いておらず、掌で温めた瓶だけ細く光ります。|納品票には点灯温度が書かれ、展示室の温度計はそれ以下です。|適温の展示箱へ移し仕組みを示す|星は戻りました。エルは光の寿命と再充填の方法も売り札へ書きます。|光喰いを倒し瓶を強く加熱する|一瞬は明るくなりました。蓄えた光はすぐ尽き、客は空瓶を持ち帰ります。|瓶を地上へ戻して返品に応じる|商いは縮みました。説明を聞いた客の一部は瓶を残しました。
地底の日食|暦職人のツキ|地底の太陽が欠け、暦が狂います。何が光を遮っているか調べてください。|人工太陽の前に、放置された保守足場が周期的に回り込んでいます。|影の縁は丸くなく、手すりと梯子の形があります。|保守日誌には撤去待ちの足場があり、軌道の回転周期と一致します。|足場を撤去し過去の暦を補正する|地底の昼が戻りました。ツキは欠けた日も注記して残します。|太陽の影獣を倒し回転を止める|日食は止みました。昼夜の循環も止まり、手動で灯を落とす仕事ができます。|影の時間を暦へ組み込んで運用する|人々は短い薄明を休憩に使います。足場の撤去費も積み立てます。
帰還信号|遭難者家族のマオ|死んだはずの隊から帰還信号が届きました。発信元を探してください。|信号は隊が残した救助標の反復で、遭難者は発信後に別ルートへ移動しています。|信号の間隔は完全に等しく、雑音の形まで繰り返します。|標識の脇に新しい矢印と、手で運ばれた担架の跡が続きます。|信号地点から先の移動跡を追う|生存者へ追い付きました。マオは帰還信号に現在地を付ける案を出します。|信号を真似る影を倒し発信機だけ回収する|機械は戻りました。家族は声を聴けますが、本人の行方は残ります。|移動先を救助隊へ送り標識を残す|専門の隊が後を引き受けました。反復信号は中継の役に立ちます。
方位のない羅針盤|探検家のルウ|羅針盤が人を指します。地図作りに使えるか試してください。|羅針盤は方角でなく持主の対になる帰還標を追い、標が人の荷に移されています。|針は北へ向かず、荷袋を置くとその場へ止まります。|製作票には航法でなく回収用と書かれ、対の番号があります。|帰還標を入口へ据え脱出具として使う|迷宮で迷っても戻る向きが分かります。ルウは方角用の盤を別に持ちます。|針を引く魔物を倒し盤を磁化し直す|北は指しました。対の標を使う帰還機能は失われます。|標を先導者に持たせ隊を離さない|道案内には使えました。先導者が倒れた時の交代手順も決めます。
百年前の観測者|観測士のシオ|百年前の日付で観測報告が続きます。書いた者を探してください。|観測者は長命な人ではなく、暦の改定を受け取っていない自動観測器です。|星の位置は現在と一致し、報告には生活の言葉が一つもありません。|通信箱には未開封の暦改定通知と、破れた受領用の歯車があります。|暦を更新し百年分の対応表を作る|古い観測値も現在の研究へ使えます。機械の名は観測者欄に残ります。|観測器の護衛を倒し古い報告を破棄する|日付の混乱は消えました。長い変化を追える資料も失われます。|旧暦のまま受領し注記を付ける|新旧の暦が並びました。変換を忘れない仕事が、毎日の当番に加わります。
願いを消す流星|見習いのハク|流星へ願った人が願いを忘れます。観測室を調べてください。|願いは忘れたのでなく、声を録る筒が願いの完了札を返して終わったと誤認させています。|完了札は星が流れる前に出て、願いの内容を読み取っていません。|設計図の完了は受付完了を意味し、願いを叶える機構はありません。|受付札に直し願いを本人へ読み返す|願いは再び本人の仕事になりました。ハクは最初の一歩を一緒に書きます。|願いの番人を倒し筒を壊す|新しい誤認は止まりました。すでに出された札の説明は残ります。|願いを手帳へ写してから観測する|流星の後も言葉が残りました。叶ったかどうかは本人が書き足します。
観測窓の亀裂|保守員のイチ|観測窓が割れ始めました。塞ぐと最後の観測ができません。|亀裂は外窓でなく交換式の測定目盛にあり、耐圧窓自体は無傷です。|亀裂は目盛線の層で止まり、背面の反射は連続しています。|断面図には測定板と耐圧窓が別部品として記されています。|測定板だけ交換して観測を続ける|最後の観測も安全に終えました。イチは割れた板を教材に残します。|窓の星獣を倒し全面を金属で塞ぐ|危険への不安はなくなりました。観測期は過ぎ、次の機会を待ちます。|観測を中止し窓全体を専門点検へ回す|慎重すぎるとの声も出ました。点検記録は次の判断材料になります。
逆さまの天球儀|暦職人のツキ|天球儀を直すと地下の暦が一月ずれます。どちらが正しいか調べてください。|天球儀は南側から読む仕様で、北向きに移された後に補正が重ねられています。|文字は南側から読むと正立し、持ち手の摩耗もそちらに偏っています。|移設前の図では台が逆向きで、暦の補正は移設年から始まっています。|正しい向きへ戻し暦の移行日を設ける|暦は揃いました。飛ぶ日付に予定された仕事には別の日が割り当てられます。|天球の守り手を倒し現行暦へ歯車を削る|今の暮らしとは合いました。別の観測所との換算表が必要になります。|二つの暦を併用し急な変更を避ける|混乱は小さく済みました。ツキは一冊の暦に二本の欄を作ります。
空を返す日|遭難者家族のマオ|天井を開くと星が見えますが地下の生活灯が消えます。最後の操作を選んでください。|生活灯と観測蓋は同じ電源を奪い合いますが、観測中だけ蓄電器から給電できます。|蓄電室は空でなく、切替札が封印されているだけです。|過去の公開観測には一時間の切替記録と生活灯の点灯記録が両方あります。|蓄電器を点検し時間を決めて天井を開く|地下で働く人も、本当の星を見ました。マオは帰らぬ名を読み終えて蓋を閉じます。|天球の主を倒し全電力で天井を開く|広い空が見えました。暗い作業場の人は、足を止めて夜が終わるのを待ちます。|天井を閉じたまま地上への観測行を組む|地下の灯は残りました。外へ出る列には、初めて空を見る人も並びます。
# 10 帰還者の深淵
先に帰った足跡|案内人のノア|まだ入っていない隊の足跡が奥から戻っています。誰のものか確かめてください。|靴底の貸出印が同じなだけで、前の隊が返した装備を今の隊が使っています。|印は一致しますが歩幅が違い、片足を引きずった跡があります。|装備台帳には前使用者と返却日の記録が残っています。|前の隊の記録を読み帰路を引き継ぐ|足跡は予言でなく案内になりました。ノアは装備と一緒に記録も貸します。|足跡を真似る影を倒して跡を消す|不気味さは減りました。使える帰路の印も見えなくなります。|自分の足跡へ別の印を付ける|二つの隊を見分けられました。古い跡は次の調査のために残ります。
出口を持つ獣|救助人のヤチ|獣の腹に出口があると聞きました。捕まった隊を救ってください。|獣は移動避難所の外装で、腹の扉から保護された隊が乗っています。|爪痕は生物の筋でなく金具の継ぎ目に沿っています。|腹の内側から救助符号が返り、外装には避難所番号があります。|救助符号で停止させ隊を降ろす|乗っていた隊は歩いて帰りました。獣は再び、次の遭難者を探しに行きます。|外装の守護獣を倒し腹を切り開く|隊は救えました。動けなくなった避難所を誰かが引き上げる仕事が残ります。|獣の進路を出口まで誘導する|中へ入らずに救助できました。隊は自分たちを運んだものを外から見ます。
名を置く宿|宿守のネム|深淵の宿で泊まった人が名乗らなくなります。理由を調べてください。|宿は追跡を避ける避難所で、名前を封じることを宿代にしています。|客は昔の話を覚え、名前を言う時だけ入口の鈴が鳴ります。|宿帳には偽名でなく番号があり、追跡者を退けた記録が載っています。|必要な人だけ匿名契約を続けられるようにする|名を戻す人も残す人も選べました。宿守は番号の横に同意日を記します。|名を奪う影を倒し全ての名を解放する|名前は戻りました。隠れていた客は、別の避難先を探して宿を出ます。|名を預けたまま帰還証を発行する|町へは戻れました。本名を取り戻す日は、本人が決めることになります。
